name,brand,category,price,ingredients,url,type,store
Daily Exfoliating Cleanser,Marie Veronique,all-cleansers,35.0,"Camellia Sinensis Leaf Infusion, Phaseolus Angularis Bean Powder, Avena Sativa Kernel Flour, Leuconostoc, Jojoba Beads, Aloe Barbadensis Leaf Juice, Glycerin, Xanthan Gum, Salix Nigra Bark Extract, Lactic Acid Extract, Chondrus Crispus Powder, Laminaria Digitata Powder, Rosmarinus Officinalis Oleoresin, Althaea Officinalis Root Powder, Oryza Sativa Bran, Honey, Lavandula Angustifolia Oil, Potassium Polysorbate, Pelargonium Graveolens  essential oils",https://credobeauty.com//collections/all-cleansers/products/daily-exfoliating-cleanser,clean,Credo
Goe Oil,Jao,all-cleansers,50.0,"jojoba butter, sunflower oil, jojoba oil, monoi tiare, rice bran oil, avocado butter, grape seed butter, grape seed oil, cocoa butter, meadowfoam seed oil, rosehip oil, soy lecithin, pumpkin seed butter, mango butter, cupuacu butter, avocado oil, shea butter, hemp seed oil, kukuinut oil, chamomile oil, beeswax, calendula oil, bergamot fruit oil, clary sage oil, palmarosa oil, lavender oil, tocopherol, vitamin e acetate, rosemary oil extract",https://credobeauty.com//collections/all-cleansers/products/goe-oil,clean,Credo
Restorative Tonic Mist,January Labs,all-cleansers,24.0,"Water, Aloe Organic Aloe Vera Leaf Juice, Witch Hazel, Sodium PCA, Rosa Extract, Glycerin, Sodium Lactate, Pro, Lime Oil, Licorice Extract, Horse Chestnut Extract, Hydrolyzed Yeast Protein, Calendula, Gotu Kola, Butcher’s Broom Root Extract",https://credobeauty.com//collections/all-cleansers/products/restorative-tonic-mist,clean,Credo
Shower Sheets,Yuni,all-cleansers,15.0,Water Saccharomyces Ferment Filtrate Glycerin Pyrus Malus Fruit Extract Polyglyceryl,https://credobeauty.com//collections/all-cleansers/products/yuni-shower-sheets,clean,Credo
Jasmine Green Tea Balancing Toner,Herbivore Botanicals,all-cleansers,39.0,"jasminum officinale flower water, aloe barbadensis leaf water, zingiber officinale root extract, hamamelis virginiana flower water, salix alba bark extract, camellia sinensis leaf extract, camellia sinensis leaf extract, leuconostoc, jasminum grandiflorum floral extract, citrus aurantium bergamia fruit oil, melia azadirachta leaf extract, melia azadirachta flower extract",https://credobeauty.com//collections/all-cleansers/products/jasmine-green-tea-balancing-toner,clean,Credo
Replenishing Oil Cleanser,Marie Veronique,all-cleansers,40.0,"carthamus tinctorius  seed oil, helianthus annuus  seed oil, prunus armeniaca  kernel oil, decyl glucoside, sucrose cocoate, tocotrienols & tocopherol, lavandula angustifolia  oil, sambucus nigra  extract, xanthan gum, pelargonium graveolens  oil, superoxide dismutase, probiotics, galactooligosaccharides, beta, rosmarinus officinalis  oleoresin",https://credobeauty.com//collections/all-cleansers/products/replenishing-oil-cleanser,clean,Credo
Jao Refresher,Jao,all-cleansers,18.0,"active ingredient, essential oils, glycerine, glyceryl polyacrylate, dl, acrylates, aminomethyl propanol, ppg, aloe barbadensis^, matricaria recutita, calendula officinalis ^organic",https://credobeauty.com//collections/all-cleansers/products/goe-hand-refresher-1,clean,Credo
4-in-1 Essential Tonic,Ursa Major,all-cleansers,26.0,"Aloe barbadensis leaf juice, aqua, leuconostoc, salix nigra bark extract, rosmarinus officinalis leaf water, hamamelis virginiana leaf water, glycerin, sodium hyaluronate, levulinic acid, sodium levulinate, saccharum officinarum extract, citrus limon fruit oil, citrus aurantium dulcis fruit extract, vaccinium myrtillus fruit extract, acer saccharum extract, camellia sinensis leaf extract, oryza sativa extract, betula alba juice, lactobacillus, caprylyl, fusel wheat bran, polyglyceryl, sodium cocoyl glutamate, glyceryl caprylate, olea europaea leaf extract, pseudotsuga menziesii branch, lavandula angustifolia flower oil, rosmarinus officinalis leaf oil, pelargonium graveolens leaf oil, boswellia carterii resin extract, alcohol, propanediol, leuconostoc ferment filtrate, soybean peroxidase, superoxide dismutase, citric acid, potassium sorbate, linalool, citronellol, geraniol, limoneneorganic",https://credobeauty.com//collections/all-cleansers/products/ursa-major-4-in-1-essential-tonic,clean,Credo
Rosehip Cleanser,Indie Lee,all-cleansers,34.0,"water, glycerin, potassium cocoate, fragrance, chondrus crispus extract, rosa rubiginosa seed oil, coccinia indica fruit extract, corallina officinalis extract, melia azadirachta flower extract, melia azadirachta seed oil, propanediol, pentylene glycol, xanthan gum, phenethyl alcohol, betaine, citric acid, hexyl cinnamal",https://credobeauty.com//collections/all-cleansers/products/rosehip-cleanser,clean,Credo
Bamboo Charcoal Soap,Herbivore Botanicals,all-cleansers,12.0,"saponified oils of cocos nucifera oil, olea europaea fruit oil, elaeis guineensis oil, tocopherol, kaolinite, activated bamboo charcoal, melaleuca alternifolia leaf oil, citrus bergamia esssential oil",https://credobeauty.com//collections/all-cleansers/products/bamboo-charcoal-soap,clean,Credo
