name,brand,category,price,ingredients
Black Clay Facial Soap,Osmia,cleansers,"

          $24.00
        
","['*Saponified Oils/Butters Of Olea Europea (Olive)', '*Responsibly-Sourced Elaeis Guineensis (Palm Kernel)', '*Mangifera Indica (Mango)', '*Cocos Nucifera', '*Prunus Dulcis (Sweet Almond)', '*Ricinus Communis (Castor)', '*Persea Gratissma (Avocado)', '*Cocos Nucifera (Coconut) Milk', 'Dead Sea Mud', '*Saponified Simmondsia Chinensis (Jojoba) Oil', 'Iron Oxide (Australian Black Midnight Clay)', 'Proprietary Blend Of Organic & Wild-Harvested Essential Oils', 'Non-GMO Mixed Tocopherols', '*Rosmarinus Officinalis (Rosemary) Co2']"
Clarifying Cleanser,Tata Harper,cleansers,"

          $72.00
        
","['*Hordeum Vulgare Leaf Juice', 'Caprylyl/Capryl Glucoside', 'Coco Glucoside', 'Glycerin', 'Decyl Glucoside', 'Lauryl Glucoside', 'Aqua/Water/Eau', 'Maltooligosyl Glucoside', 'Mel/Honey/Miel', 'Salix Alba (Willow) Bark Extract', 'Hydrogenated Starch Hydrolysate', '**Aroma', 'Hydrolyzed Opuntia Ficus-Indica Flower Extract', 'Lactobacillus Ferment', 'Leuconostoc Ferment Filtrate', 'Gaultheria Procumbens (Wintergreen) Leaf Extract', 'L (+) Lactic Acid', 'Citric Acid', 'Yucca Schidigera Extract', 'Chlorella Pyrenoidosa', 'Juniperus Communis Fruit Extract', 'Saccharide Isomerate', '*Arnica Montana (Arnica) Extract', '*Borago Officinalis (Borage) Leaf Extract', '*Calendula Officinalis (Calendula) Flower Extract', '*Medicago Sativa (Alfalfa) Extract', '*Spiraea Ulmaria (Meadowsweet) Extract', '*Olea Europaea (Olive) Oil', 'Serenoa Serrulata Fruit Extract', 'Tocopherol', 'Sambucus Nigra Fruit Extract', 'P-Anisic Acid', 'Menthol', 'Menthyl Lactate', 'Sodium Phytate', 'Acacia Senegal Gum', 'Xanthan Gum', 'Sodium Citrate', 'Sodium Caproyl/Lauroyl Lactylate', 'Polyglyceryl-10 Laurate', 'CI 77288', 'Alcohol', 'Limonene', 'Linalool']"
Australian Wild Plum & Willow Facial Cleanser,Pangea Organics,cleansers,"

          $32.00
        
","['*Aloe Barbadensis (Aloe) Leaf Juice', 'Decyl Glucoside', 'Aqua (Water)', 'Glycerin', 'Sodium Benzoate & Gluconic Acid & Water', 'Salvia Sclarea (Clary Sage) Oil', 'Salvia Officinalis (Sage) Oil', 'Aniba Rosaeodora (Rosewood) Wood Oil', 'Lavandula Angustifolia (Lavender) Oil', 'Citrus Aurantium Dulcis (Orange) Oil', 'Citrus Aurantium Bergamia (Bergamot) Oil', 'Elettaria Cardamomum (Cardamom) Oil', '*Vitis Vinifera (Grape) Seed Extract', '*Salix Alba (Willow) Bark Extract', '*Sambucus Nigra (Elder) Fruit Extract', '*Melissa Officinalis (Lemon Balm) Extract', '*Tilia Cordata (Linden) Flower Extract', 'Sodium Alginate', 'Xanthan Gum', 'Potassium Sorbate', 'Yucca Schidigera (Yucca) Root Extract', 'Terminalia Ferdinandiana (Kakadu Plum) Extract', 'Pleiogynium Timorense (Burdekin Plum) Extract', 'Podocarpus Elatus (Illawarra Plum) Extract', 'Leptospermum Scoparium Mel (Manuka Honey)', 'Potassium Cocoate', 'Argania Spinosa (Argan) Kernel Oil']"
Fine Herbal Cleanser,Farmaesthetics,cleansers,"

          $42.00
        
","['Witch Hazel', 'Vegetable Glycerin', '*acylglutamate', 'Geranium Essential Oil', 'Lavender Essential Oil']"
Clean Dirt,May Lindstrom,cleansers,"

          $70.00
        
","['Kaolin (White Halloysite) Clay', 'Red Moroccan Rhassoul Clay', 'Red Alaea Sea Salt (Sea Salt and Red Alaea)', 'L-Ascorbic Acid (Vitamin C)', 'Sodium Bicarbonate', '*Althaea Officinalis (Marshmallow) Root', '*Rosa Centifolia (Pink Rose)', '*Calendula Officinalis (Calendula) Flower', '*Cinnamomum Zealanicum Blum (Ceylon Cinnamon)', '*Myristica Fragans (Nutmeg)', '*Syzygium Aromaticum (Clove)', '*Curcuma Longa (Turmeric)', '*Zingiber Officinale (Ginger)', '*Vanilla Planifolia Bean', '**Theobroma Cacao (Raw Cacao)', '***Eugenol']"
Complete Moisture Cleanse,Josh Rosebrook,cleansers,"

          $55.00
        
","['*Aloe Vera Gel', 'Saponified Coconut Oil', 'Water', '*Honey', '*Vegetable Glycerin', 'Xanthan Gum (Non-GMO)', '*Broccoli Seed Oil', '*Jojoba Oil', '*Baobab Oil', '*Hemp Seed Oil', '*Borage Seed Oil', '*Argan Oil', '*Sea Buckthorn Oil', '*Avocado Oil', '*Evening Primrose Oil', '*Almond Oil', '*Sunflower Oil', '*Grape Seed Oil', '*Sesame Seed Oil', '*Rose Petal', '*Eye Bright Herb Extract', 'Turmeric', '*Rosemary', '*Sage Extract', '*Goji Berry', '*Alfalfa', '*Beet Root', '*Dandelion', '*Ashwagandha', '*Marshmallow Root', '*Raspberry Leaf Extract', '*Chickweed', '*Calendula Extract', '*Elderberry', '*Rose Hips', '*Ginkgo Leaf', '*Milk Thistle', '*Black Cohosh', '*Licorice Root Extract', '*Ginger Root', '*Bladderwrack', '*Fenugreek', '*Hawthorn Berry', '*Cats Claw', 'Lavender Flowers', ""*St. John's Wort Extract"", '*Cinnamon', '**Potassium Sorbate', '*Vanilla Extract', '*Rosmarinus Officinalis Leaf (Rosemary Essential Oil)', '*Ylang Ylang Oil', '*Eucalyptus Leaf Oil']"
Nourishing Oil Cleanser,Tata Harper,cleansers,"

          $82.00
        
","['*Helianthus Annuus (Sunflower) Seed Oil', 'Shea Butter Ethyl Esters', 'Polyglyceryl-4 Oleate', '*Prunus Armeniaca (Apricot) Kernel Oil', '*Simmondsia Chinensis (Jojoba) Seed Oil', '*Olea Europaea (Olive) Oil', '*Argania Spinosa (Argan) Kernel Oil', '*Plukenetia Volubilis Seed Oil', '*Camellia Oleifera Seed Oil', 'Jojoba Esters (Beads)', '*Arnica Montana (Arnica) Extract', '*Borago Officinalis (Borage) Leaf Extract', '*Medicago Sativa (Alfalfa) Extract', '*Filipendula Ulnaria (Meadowsweet) Extract', '*Calendula Officinalis (Calendula) Flower Extract', 'Sambucus Nigra Fruit Extract', 'Tocopherol', '**Aroma', 'Citral', 'Citronellol', 'Eugenol', 'Geraniol', 'Limonene', 'Linalool']"
Egyptian Calendula & Blood Orange Facial Cleanser,Pangea Organics,cleansers,"

          $32.00
        
","['*Aloe Barbadensis (Aloe Vera) Leaf Juice', 'Decyl Glucoside', 'Purified Water (Aqua)', 'Glyceryl Stearate SE', '*Helianthus Annuus (High Oleic Sunflower Seed) Oil', 'Sodium Stearoyl Lactylate', 'Glyceryl Caprylate', 'Glyceryl Undecylenate', 'Xanthan Gum', 'Cocos Nucifera (Coconut) Oil', 'Prunus Amygdalus Dulcis (Sweet Almond) Oil', '*Butyrospermum Parkii (Shea) Butter', '*Oenothera Biennis (Evening Primrose) Oil', '*Lecithin', '*Theobroma Cacao (Cocoa) Seed Butter', 'Glycerin (Vegetable)', 'Rosa Damasena Flower Extract', 'Rosmarinus Officnalis (Rosemary) Leaf Extract', 'Calendula Offincalis Flower Extract', 'Lavandula Angustifolia (Lavender) Flower/Leaf/Stem Extract', 'Calendula Officinalis (Calendula) Flower Oil', 'Citrus Sinesis (Blood Orange) Extract', 'Potassium Sorbate', 'Ascorbic Acid (Vitamin C)']"
Organic Face Wash,Leap Organics,cleansers,"

          $18.00
        
","['Water', '*Organic Aloe Barbadensis Juice', '*Organic Vegetable Glycerin', '*Organic Cocos Nucifera (Coconut) Oil', '*Organic Helianthus Annuus (Sunflower) Oil', '*Organic Cyamopsis Tetragonolobus (Guar) Gum', 'Potassium Hydroxide', '*Organic Simmondsia Chinensis (Jojoba) Oil', '*Organic Oenothera Biennis (Evening Primrose) Oil', '*Organic Citrus Sinensis (Sweet Orange) Oil', '*Organic Citrus Paradisi (Grapefruit) Oil', 'Organic Persea Gratissima (Avocado) Oil', '*Organic Orbignya Oleifera (Babassu) Oil', '*Organic Butyrospermum Parkii (Shea) Butter', '*Organic Rosmarinus Officinalis (Rosemary) Extract', 'Non-GMO Mixed Tocopherols']"
The Pendulum Potion,May Lindstrom,cleansers,"

          $80.00
        
","['*Calophyllum Inophyllum (Tamanu) Seed Oil', '*Camellia Oleifera Seed Oil', '*Macadamia Ternifolia Seed Oil', '*Persea Gratissima (Avocado) Oil', '*Olea Europaea (Olive) Fruit Oil', 'Prunus Domestica (Plum Kernel) Oil', 'Theobroma Cacao (Cocoa) Oleoresin', '*Citrus Sinensis (Sweet Orange) Peel Essential Oil', '**Commiphora Myrrha (Myrrh) Oil', 'Jasminum Grandiflorum (Jasmine) Flower Absolute', '*Cananga Odorata (Ylang-Ylang) Oil', '*Citrus Limon (Lemon) Peel Oil', '**Boswellia Serrate Gum (Frankincense) Oil', '**Myroxylon Pereirae (Balsam of Peru) Oil', '***Limonene', '***Benzyl Benzoate', '***Linalool', '***Benzyl Cinnamate']"
Purifying Cleansing Gel,Tammy Fender,cleansers,"

          $50.00
        
","['Aloe Barbadensis (Aloe Vera) Leaf Juice', '*Cucumis Sativus (Cucumber) Fruit Water', '*Rosmarinus Officinalis (Rosemary) Leaf Water', 'Sodium Laurylglucosides Hydroxypropylsulfonate', 'Cocamidopropyl Hydroxysultaine', 'Myristamine Oxide', 'Arctium Lappa (Great Burdock) Root Extract', 'Lavandula Angustifolia (Lavender) Oil', 'Glycerin', 'Mentha Viridis (Spearmint) Leaf Oil', 'Lavandula Hybrida Oil', 'Nasturtium Officinale (Watercress) Flower/Leaf Extract', 'Caprylyl/Capryl Glucoside', 'Decyl Glucoside', 'Chlorophyllin-Copper Complex', 'Sodium Benzoate', 'Potassium Sorbate', 'Caprylic/Capric Triglyceride', 'Medicago Sativa (Alfalfa) Leaf Powder']"
Coconut Cream,RMS Beauty,cleansers,"

          $18.00
        
",['*Coconut Oil']
